2024-10-17 16:09:20,799 - Frame: 112, CPU: 2.9%, Memory: 86.8%
2024-10-17 16:09:20,830 - Frame: 113, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:20,861 - Frame: 114, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:20,893 - Frame: 115, CPU: 2.7%, Memory: 86.8%
2024-10-17 16:09:20,924 - Frame: 116, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:20,955 - Frame: 117, CPU: 3.0%, Memory: 86.8%
2024-10-17 16:09:20,987 - Frame: 118, CPU: 3.3%, Memory: 86.8%
2024-10-17 16:09:21,019 - Frame: 119, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:21,051 - Frame: 120, CPU: 2.5%, Memory: 86.8%
2024-10-17 16:09:21,083 - Frame: 121, CPU: 2.9%, Memory: 86.8%
2024-10-17 16:09:21,114 - Frame: 122, CPU: 10.0%, Memory: 86.8%
2024-10-17 16:09:21,146 - Frame: 123, CPU: 13.8%, Memory: 86.8%
2024-10-17 16:09:21,178 - Frame: 124, CPU: 6.7%, Memory: 86.8%
2024-10-17 16:09:21,209 - Frame: 125, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:21,241 - Frame: 126, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:21,272 - Frame: 127, CPU: 2.9%, Memory: 86.8%
2024-10-17 16:09:21,302 - Frame: 128, CPU: 4.0%, Memory: 86.8%
2024-10-17 16:09:21,333 - Frame: 129, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:21,365 - Frame: 130, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:21,396 - Frame: 131, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:21,428 - Frame: 132, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:21,458 - Frame: 133, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:21,489 - Frame: 134, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:21,521 - Frame: 135, CPU: 3.3%, Memory: 86.8%
2024-10-17 16:09:21,552 - Frame: 136, CPU: 3.3%, Memory: 86.8%
2024-10-17 16:09:21,583 - Frame: 137, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:21,615 - Frame: 138, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:21,647 - Frame: 139, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:21,679 - Frame: 140, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:21,710 - Frame: 141, CPU: 3.4%, Memory: 86.8%
2024-10-17 16:09:21,742 - Frame: 142, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:21,773 - Frame: 143, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:21,805 - Frame: 144, CPU: 3.1%, Memory: 86.8%
2024-10-17 16:09:21,835 - Frame: 145, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:21,921 - Frame: 146, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:21,974 - Frame: 147, CPU: 4.3%, Memory: 86.8%
2024-10-17 16:09:22,036 - Frame: 148, CPU: 4.6%, Memory: 86.8%
2024-10-17 16:09:22,089 - Frame: 149, CPU: 3.2%, Memory: 86.8%
2024-10-17 16:09:22,120 - Frame: 150, CPU: 8.8%, Memory: 86.8%
2024-10-17 16:09:22,150 - Frame: 151, CPU: 3.8%, Memory: 86.8%
2024-10-17 16:09:22,182 - Frame: 152, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:22,214 - Frame: 153, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:22,245 - Frame: 154, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:22,276 - Frame: 155, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:22,308 - Frame: 156, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:22,338 - Frame: 157, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:22,384 - Frame: 158, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:22,432 - Frame: 159, CPU: 4.1%, Memory: 86.8%
2024-10-17 16:09:22,464 - Frame: 160, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:22,496 - Frame: 161, CPU: 3.2%, Memory: 86.8%
2024-10-17 16:09:22,527 - Frame: 162, CPU: 3.0%, Memory: 86.8%
2024-10-17 16:09:22,558 - Frame: 163, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:22,590 - Frame: 164, CPU: 6.9%, Memory: 86.7%
2024-10-17 16:09:22,621 - Frame: 165, CPU: 5.3%, Memory: 86.8%
2024-10-17 16:09:22,652 - Frame: 166, CPU: 6.2%, Memory: 86.7%
2024-10-17 16:09:22,683 - Frame: 167, CPU: 2.9%, Memory: 86.8%
2024-10-17 16:09:22,714 - Frame: 168, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:22,745 - Frame: 169, CPU: 3.4%, Memory: 86.8%
2024-10-17 16:09:22,777 - Frame: 170, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:22,809 - Frame: 171, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:22,840 - Frame: 172, CPU: 2.7%, Memory: 86.8%
2024-10-17 16:09:22,872 - Frame: 173, CPU: 3.4%, Memory: 86.8%
2024-10-17 16:09:22,904 - Frame: 174, CPU: 2.9%, Memory: 86.7%
2024-10-17 16:09:22,934 - Frame: 175, CPU: 3.2%, Memory: 86.7%
2024-10-17 16:09:22,965 - Frame: 176, CPU: 3.0%, Memory: 86.8%
2024-10-17 16:09:22,998 - Frame: 177, CPU: 3.2%, Memory: 86.8%
2024-10-17 16:09:23,029 - Frame: 178, CPU: 5.6%, Memory: 86.7%
2024-10-17 16:09:23,059 - Frame: 179, CPU: 3.7%, Memory: 86.7%
2024-10-17 16:09:23,090 - Frame: 180, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:23,121 - Frame: 181, CPU: 6.2%, Memory: 86.8%
2024-10-17 16:09:23,153 - Frame: 182, CPU: 7.1%, Memory: 86.7%
2024-10-17 16:09:23,185 - Frame: 183, CPU: 3.2%, Memory: 86.8%
2024-10-17 16:09:23,217 - Frame: 184, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:23,249 - Frame: 185, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:23,280 - Frame: 186, CPU: 5.6%, Memory: 86.7%
2024-10-17 16:09:23,312 - Frame: 187, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:23,343 - Frame: 188, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:23,374 - Frame: 189, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:23,403 - Frame: 190, CPU: 6.7%, Memory: 86.8%
2024-10-17 16:09:23,435 - Frame: 191, CPU: 5.4%, Memory: 86.7%
2024-10-17 16:09:23,465 - Frame: 192, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:23,495 - Frame: 193, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:23,527 - Frame: 194, CPU: 0.0%, Memory: 86.8%
2024-10-17 16:09:23,558 - Frame: 195, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:23,589 - Frame: 196, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:23,621 - Frame: 197, CPU: 3.2%, Memory: 86.7%
2024-10-17 16:09:23,652 - Frame: 198, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:23,683 - Frame: 199, CPU: 7.1%, Memory: 86.7%
2024-10-17 16:09:23,714 - Frame: 200, CPU: 2.8%, Memory: 86.7%
2024-10-17 16:09:23,744 - Frame: 201, CPU: 3.1%, Memory: 86.7%
2024-10-17 16:09:23,777 - Frame: 202, CPU: 3.7%, Memory: 86.7%
2024-10-17 16:09:23,807 - Frame: 203, CPU: 3.0%, Memory: 86.7%
2024-10-17 16:09:23,838 - Frame: 204, CPU: 3.1%, Memory: 86.7%
2024-10-17 16:09:23,870 - Frame: 205, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:23,900 - Frame: 206, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:23,932 - Frame: 207, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:23,964 - Frame: 208, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:23,994 - Frame: 209, CPU: 6.1%, Memory: 86.7%
2024-10-17 16:09:24,026 - Frame: 210, CPU: 3.1%, Memory: 86.7%
2024-10-17 16:09:24,058 - Frame: 211, CPU: 3.0%, Memory: 86.7%
2024-10-17 16:09:24,089 - Frame: 212, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:24,118 - Frame: 213, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:24,150 - Frame: 214, CPU: 3.1%, Memory: 86.7%
2024-10-17 16:09:24,182 - Frame: 215, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:24,214 - Frame: 216, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:24,245 - Frame: 217, CPU: 8.3%, Memory: 86.7%
2024-10-17 16:09:24,277 - Frame: 218, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:24,307 - Frame: 219, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:24,340 - Frame: 220, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:24,371 - Frame: 221, CPU: 2.8%, Memory: 86.7%
2024-10-17 16:09:24,402 - Frame: 222, CPU: 8.6%, Memory: 86.7%
2024-10-17 16:09:24,433 - Frame: 223, CPU: 10.0%, Memory: 86.7%
2024-10-17 16:09:24,465 - Frame: 224, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:24,497 - Frame: 225, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:24,528 - Frame: 226, CPU: 0.0%, Memory: 86.7%
2024-10-17 16:09:24,560 - Frame: 227, CPU: 3.1%, Memory: 86.7%
2024-10-17 16:09:24,590 - Frame: 228, CPU: 0.0%, Memory: 86.6%
2024-10-17 16:09:24,622 - Frame: 229, CPU: 0.0%, Memory: 86.6%
2024-10-17 16:09:24,653 - Frame: 230, CPU: 3.4%, Memory: 86.6%
2024-10-17 16:09:24,685 - Frame: 231, CPU: 0.0%, Memory: 86.6%
2024-10-17 16:09:24,714 - Frame: 232, CPU: 6.9%, Memory: 86.6%
2024-10-17 16:09:24,746 - Frame: 233, CPU: 0.0%, Memory: 86.6%
2024-10-17 16:09:24,777 - Frame: 234, CPU: 0.0%, Memory: 86.6%
2024-10-17 16:09:24,807 - Frame: 235, CPU: 0.0%, Memory: 86.6%
2024-10-17 16:09:24,840 - Frame: 236, CPU: 7.1%, Memory: 86.6%
2024-10-17 16:09:24,870 - Frame: 237, CPU: 0.0%, Memory: 86.6%
2024-10-17 16:09:24,901 - Frame: 238, CPU: 0.0%, Memory: 86.6%
2024-10-17 16:09:24,932 - Frame: 239, CPU: 0.0%, Memory: 86.6%
2024-10-17 16:09:24,963 - Frame: 240, CPU: 6.5%, Memory: 86.6%
2024-10-17 16:09:24,994 - Frame: 241, CPU: 3.3%, Memory: 86.6%
2024-10-17 16:09:25,026 - Frame: 242, CPU: 0.0%, Memory: 86.6%
2024-10-17 16:09:25,058 - Frame: 243, CPU: 2.9%, Memory: 86.6%
2024-10-17 16:09:25,089 - Frame: 244, CPU: 0.0%, Memory: 86.5%
2024-10-17 16:09:25,121 - Frame: 245, CPU: 0.0%, Memory: 86.6%
2024-10-17 16:09:25,152 - Frame: 246, CPU: 3.7%, Memory: 86.6%
2024-10-17 16:09:25,182 - Frame: 247, CPU: 5.0%, Memory: 86.6%
2024-10-17 16:09:25,213 - Frame: 248, CPU: 4.3%, Memory: 86.6%
2024-10-17 16:09:25,244 - Frame: 249, CPU: 0.0%, Memory: 86.6%
2024-10-17 16:09:25,276 - Frame: 250, CPU: 0.0%, Memory: 86.6%
2024-10-17 16:09:25,306 - Frame: 251, CPU: 3.1%, Memory: 86.6%
2024-10-17 16:09:25,338 - Frame: 252, CPU: 0.0%, Memory: 86.6%
2024-10-17 16:09:25,370 - Frame: 253, CPU: 0.0%, Memory: 86.6%
2024-10-17 16:09:25,402 - Frame: 254, CPU: 2.9%, Memory: 86.6%
2024-10-17 16:09:25,433 - Frame: 255, CPU: 0.0%, Memory: 86.6%
2024-10-17 16:09:25,465 - Frame: 256, CPU: 3.2%, Memory: 86.6%
2024-10-17 16:09:25,497 - Frame: 257, CPU: 0.0%, Memory: 86.6%
2024-10-17 16:09:25,526 - Frame: 258, CPU: 0.0%, Memory: 86.5%
2024-10-17 16:09:25,557 - Frame: 259, CPU: 3.6%, Memory: 86.6%
2024-10-17 16:09:25,589 - Frame: 260, CPU: 0.0%, Memory: 86.5%
2024-10-17 16:09:25,622 - Frame: 261, CPU: 6.1%, Memory: 86.5%
2024-10-17 16:09:25,655 - Frame: 262, CPU: 6.5%, Memory: 86.5%
2024-10-17 16:09:25,685 - Frame: 263, CPU: 0.0%, Memory: 86.5%
2024-10-17 16:09:25,717 - Frame: 264, CPU: 0.0%, Memory: 86.5%
2024-10-17 16:09:25,748 - Frame: 265, CPU: 5.4%, Memory: 86.5%
2024-10-17 16:09:25,780 - Frame: 266, CPU: 3.2%, Memory: 86.5%
2024-10-17 16:09:25,817 - Frame: 267, CPU: 0.0%, Memory: 86.5%
2024-10-17 16:09:25,859 - Frame: 268, CPU: 10.2%, Memory: 86.5%
2024-10-17 16:09:25,892 - Frame: 269, CPU: 3.3%, Memory: 86.5%
